Date,Series,Value
2006-03-31,Liquid Asset Share,0.0006709999999999999
2006-06-30,Liquid Asset Share,0.000665
2006-09-30,Liquid Asset Share,0.0006519999999999999
2006-12-31,Liquid Asset Share,0.000682
2007-03-31,Liquid Asset Share,0.00064
2007-06-30,Liquid Asset Share,0.000666
2007-09-30,Liquid Asset Share,0.000605
2007-12-31,Liquid Asset Share,0.0006309999999999999
2008-03-31,Liquid Asset Share,0.0006219999999999999
2008-06-30,Liquid Asset Share,0.000672
2008-09-30,Liquid Asset Share,0.0008119999999999999
2008-12-31,Liquid Asset Share,0.0011740000000000001
2009-03-31,Liquid Asset Share,0.00111
2009-06-30,Liquid Asset Share,0.0010550000000000002
2009-09-30,Liquid Asset Share,0.001124
2009-12-31,Liquid Asset Share,0.0012029999999999999
2010-03-31,Liquid Asset Share,0.001228
2010-06-30,Liquid Asset Share,0.0012369999999999998
2010-09-30,Liquid Asset Share,0.001193
2010-12-31,Liquid Asset Share,0.001232
2011-03-31,Liquid Asset Share,0.0013269999999999998
2011-06-30,Liquid Asset Share,0.001411
2011-09-30,Liquid Asset Share,0.0014249999999999998
2011-12-31,Liquid Asset Share,0.001384
2012-03-31,Liquid Asset Share,0.0014119999999999998
2012-06-30,Liquid Asset Share,0.0014080000000000002
2012-09-30,Liquid Asset Share,0.0014060000000000001
2012-12-31,Liquid Asset Share,0.00149
2013-03-31,Liquid Asset Share,0.0015160000000000002
2013-06-30,Liquid Asset Share,0.0015289999999999998
2013-09-30,Liquid Asset Share,0.0016260000000000003
2013-12-31,Liquid Asset Share,0.0016489999999999999
2014-03-31,Liquid Asset Share,0.001722
2014-06-30,Liquid Asset Share,0.0017449999999999998
2014-09-30,Liquid Asset Share,0.0017850000000000001
2014-12-31,Liquid Asset Share,0.0018549999999999999
2015-03-31,Liquid Asset Share,0.0019010000000000001
2015-06-30,Liquid Asset Share,0.0018350000000000003
2015-09-30,Liquid Asset Share,0.0018100000000000002
2015-12-31,Liquid Asset Share,0.001814
2016-03-31,Liquid Asset Share,0.0018280000000000002
2016-06-30,Liquid Asset Share,0.0018230000000000002
2016-09-30,Liquid Asset Share,0.001818
2016-12-31,Liquid Asset Share,0.0018260000000000001
2017-03-31,Liquid Asset Share,0.0018719999999999997
2017-06-30,Liquid Asset Share,0.001812
2017-09-30,Liquid Asset Share,0.0018350000000000003
2017-12-31,Liquid Asset Share,0.0018410000000000002
2018-03-31,Liquid Asset Share,0.0018340000000000001
2018-06-30,Liquid Asset Share,0.001796
2018-09-30,Liquid Asset Share,0.001804
2018-12-31,Liquid Asset Share,0.0017620000000000003
2019-03-31,Liquid Asset Share,0.0017120000000000002
2019-06-30,Liquid Asset Share,0.001715
2019-09-30,Liquid Asset Share,0.001769
2019-12-31,Liquid Asset Share,0.0018030000000000001
